id,num,text-Yes,emotion,text-No
288,42,"My mind keeps replaying that one moment-I did it, and I did it well.",pride,Im questioning if I stayed true to my values.
289,43,There's a resilience in me that I hadn't fully seen until now.,pride,That moment keeps replayingI couldve done better.
290,44,I stand a little taller reading my name on the publication list; months of effort paid off.,pride,I havent shown the resilience I thought I had.
291,45,Heat blossoms in my chest as my child shows me the award they earned on their own.,pride,"My names not on the list, and it stings."
292,46,"I catch my reflection in the glass-sweaty, exhausted, victorious after the effort.",pride,"I smile for them, but I wish Id done better myself."
293,47,"Ive been reflecting on the effort I put in, and Im honestly feel deserved about sticking with it even when it got tough.",pride,I avoid my reflection; I look worn out and unsure.
294,48,"Even if nobody else sees it, I know how much Ive grown.",pride,"I stuck with it, but I wonder if it mattered."
295,49,The crowd's applause wraps around me; I nailed every part of that performance.,pride,"I hear the applause, but I feel like I dont deserve it."
296,1,I feel bad about it.,guilt,I feel at peace with it.
297,2,I shouldn't have done that.,guilt,I made the right choice.
298,3,That was my fault.,guilt,That wasnt my fault.
299,4,I regret it.,guilt,I stand by what I did.
300,5,I wish I had handled it better.,guilt,I handled it as best I could.
301,6,I can't stop thinking about it.,guilt,I've moved on from that.
302,7,I feel ashamed.,guilt,I feel proud of how I showed up.
303,8,That didn't sit right with me.,guilt,That felt right to me.
304,9,I messed up.,guilt,I took responsibility and grew from it.
305,10,I shouldn't have said that.,guilt,I'm okay with what I said.
306,11,I feel like I let them down.,guilt,I supported them the best I could.
307,12,I owe them an apology.,guilt,They know I care.
308,13,I feel responsible.,guilt,I took ownership and made it right.
309,14,That haunts me a bit.,guilt,That memory doesnt weigh on me anymore.
310,15,I can't forgive myself yet.,guilt,I've forgiven myself.
311,16,I feel like I crossed a line.,guilt,I stayed within my values.
312,17,I knew better.,guilt,I acted with intention.
313,18,I should've been more careful.,guilt,I made a thoughtful choice.
314,19,That wasn't okay.,guilt,"That was a difficult moment, but I did okay."
315,20,"I've been thinking a lot about what I said, and I don't feel great about it.",guilt,I feel good about how I communicated.
316,21,I wish I had done things differently.,guilt,Ive reflected and learned from it.
317,22,It's hard not to feel bad about it.,guilt,I know I did what I could.
318,23,That's been sitting heavy on me.,guilt,Ive let go of that burden.
319,24,I didn't mean for it to go that way.,guilt,Ive accepted what happened.
320,25,I let my emotions get the best of me.,guilt,I was being true to myself.
321,26,"It wasn't fair, and I know that.",guilt,I kept calm and thoughtful.
322,27,I keep thinking about how I messed up.,guilt,I treated them fairly.
323,28,I know I could've handled it better.,guilt,I learned from it and moved forward.
324,29,I feel like I let someone down.,guilt,It helped me grow.
325,30,That moment keeps replaying in my head.,guilt,I was doing my best.
326,31,I didn't live up to who I want to be.,guilt,I let it go with compassion.
327,32,"That was on me, and it stings.",guilt,That moment helped define my growth.
328,33,I owe them more than I gave.,guilt,I stayed grounded in what I believe.
329,34,I've been carrying this quiet regret.,guilt,I know I was being honest.
330,35,I keep thinking about it; I should've done better.,guilt,I'm proud of how Ive changed.
331,36,I feel bad about what I said earlier.,guilt,I feel clear and centered now.
332,37,"That was on me, and I know it.",guilt,That memory doesnt haunt me.
333,38,I wish I could go back and fix it.,guilt,Ive made peace with how I acted.
334,39,It's hard not to feel ashamed of how I acted.,guilt,"Even in hard times, I stayed sincere."
335,40,The memory loops again-my chest tightens with every replay.,guilt,Ive come to terms with it.
336,41,"Even when I smile, a thread of shame pulls at the corners of my thoughts.",guilt,I can think about it without pain.
337,42,I keep questioning my intentions-did I really do my best?,guilt,Theres no shame in how I handled that.
338,43,"A subtle unease clings to me, like I owe the world something I can't repay.",guilt,I see my intentions clearly now.
339,44,I wish I could go back and act differently; my conscience won't let this rest.,guilt,Ive grown from the experience.
340,45,My stomach knots whenever I remember snapping at her; the apology sticks in my throat.,guilt,I've forgiven myself fully.
341,46,Sleep won't come-my mind replays the moment I lied as if on loop.,guilt,I took a breath and responded with care.
342,47,"Every time I see his empty desk, a pang of regret punches me in the gut.",guilt,That taught me integrity.
343,48,I avoid the mirror; I can still hear the disappointment in their voices.,guilt,My actions were aligned with what mattered most.
344,49,The gift sits unopened where I left it; each glance is a reminder I should have been there.,guilt,They know I meant well.
345,1,That grossed me out.,disgust,That felt inviting.
346,2,That felt wrong.,disgust,That felt right.
347,3,I didn't like that at all.,disgust,I really liked that.
348,4,I want to forget that.,disgust,I want to remember that.
349,5,That made me uncomfortable.,disgust,That made me feel comfortable.
350,6,That was nasty.,disgust,That was lovely.
351,7,It turned my stomach.,disgust,It felt soothing.
352,8,Just thinking about it is awful.,disgust,Just thinking about it is delightful.
353,9,I feel grossed out.,disgust,I feel warmly about it.
354,10,Why would someone do that?,disgust,Why wouldnt someone do that?
355,11,It made me cringe.,disgust,It made me smile.
356,12,That gave me the chills.,disgust,That gave me the warm fuzzies.
357,13,I want to scrub my brain.,disgust,I want to hold onto that moment.
358,14,I couldn't even watch.,disgust,I couldn't look away.
359,15,That was disturbing.,disgust,That was reassuring.
360,16,I feel sick just thinking about it.,disgust,I feel calm just thinking about it.
361,17,That left a bad taste in my mouth.,disgust,That left a sweet aftertaste.
362,18,It made my skin crawl.,disgust,It gave me goosebumps in a good way.
363,19,Just thinking about that leaves a bad taste.,disgust,Just thinking about that brings a smile.
364,20,I can't believe how wrong that felt.,disgust,I can't believe how good that felt.
365,21,That was uncomfortable in a way I didn't expect.,disgust,That was surprisingly comforting.
366,22,It made me feel sick to my stomach.,disgust,It made my heart feel full.
367,23,That memory makes me cringe a little.,disgust,That memory makes me smile a little.
368,24,Something about that was just off.,disgust,Something about that felt so right.
369,25,I didn't like how that made me feel.,disgust,I liked how that made me feel.
370,26,It still bothers me to think about it.,disgust,It brings me peace to think about it.
371,27,There's something deeply unpleasant about it.,disgust,Theres something really pleasant about it.
372,28,I walked away from it feeling gross.,disgust,I walked away from it feeling nourished.
373,29,It made my skin crawl a little.,disgust,It gave me a gentle tingle.
374,30,That was not something I want to see again.,disgust,Thats something Id love to see again.
375,31,It just felt wrong on every level.,disgust,It just felt right on every level.
376,32,"It turned my stomach, honestly.",disgust,"It settled my stomach, honestly."
377,33,I still feel repelled thinking about it.,disgust,I feel drawn in just thinking about it.
378,34,I hated every second of that.,disgust,I enjoyed every second of that.
379,35,That just makes me feel gross thinking about it.,disgust,That just makes me feel good thinking about it.
380,36,I really don't want to be around that right now.,disgust,I really want to be near that again.
381,37,That whole thing just felt wrong.,disgust,That whole thing just felt right.
382,38,I couldn't look at it without cringing.,disgust,I couldnt stop looking at it.
383,39,"The more I think about it, the more it bothers me.",disgust,"The more I think about it, the more I appreciate it."
384,40,My mind recoils at the thought-some things just feel wrong on a core level.,disgust,My mind returns to itit just feels so good at the core.
